Actor;Entidad
Municipal;CHIVOR - BOYACÁ
Municipal;CHOACHÍ - CUNDINAMARCA
Municipal;CHOCONTÁ - CUNDINAMARCA
Municipal;CICUCO - BOLÍVAR
Municipal;CIÉNAGA - MAGDALENA
Municipal;CIÉNAGA DE ORO - CÓRDOBA
Municipal;CIÉNEGA - BOYACÁ
Municipal;CIMITARRA - SANTANDER
Municipal;CIRCASIA - QUINDIO
Municipal;CISNEROS - ANTIOQUIA
Municipal;CIUDAD BOLÍVAR - ANTIOQUIA
Municipal;CLEMENCIA - BOLÍVAR
Municipal;COCORNÁ - ANTIOQUIA
Municipal;COELLO - TOLIMA
Municipal;COGUA - CUNDINAMARCA
Municipal;COLOMBIA - HUILA
Municipal;COLÓN - NARIÑO
Municipal;COLÓN - PUTUMAYO
Municipal;COLOSÓ - SUCRE
Municipal;CÓMBITA - BOYACÁ
Municipal;CONCEPCIÓN - ANTIOQUIA
Municipal;CONCEPCIÓN - SANTANDER
Municipal;CONCORDIA - ANTIOQUIA
Municipal;CONCORDIA - MAGDALENA
Municipal;CONDOTO - CHOCÓ
Municipal;CONFINES - SANTANDER
Municipal;CONSACÁ - NARIÑO
Municipal;CONTADERO - NARIÑO
Municipal;CONTRATACIÓN - SANTANDER
Municipal;CONVENCIÓN - NORTE DE SANTANDER
Municipal;COPACABANA - ANTIOQUIA
Municipal;COPER - BOYACÁ
Municipal;CÓRDOBA - BOLÍVAR
Municipal;CÓRDOBA - NARIÑO
Municipal;CÓRDOBA - QUINDIO
Municipal;CORINTO - CAUCA
Municipal;COROMORO - SANTANDER
Municipal;COROZAL - SUCRE
Municipal;CORRALES - BOYACÁ
Municipal;COTA - CUNDINAMARCA
Municipal;COTORRA - CÓRDOBA
Municipal;COVARACHÍA - BOYACÁ
Municipal;COVEÑAS - SUCRE
Municipal;COYAIMA - TOLIMA
Municipal;CRAVO NORTE - ARAUCA
Municipal;CUASPUD CARLOSAMA - NARIÑO
Municipal;CUBARÁ - BOYACÁ
Municipal;CUBARRAL - META
Municipal;CUCAITA - BOYACÁ
Municipal;CUCUNUBÁ - CUNDINAMARCA
Municipal;CUCUTILLA - NORTE DE SANTANDER
Municipal;CUÍTIVA - BOYACÁ
Municipal;CUMARAL - META
Municipal;CUMARIBO - VICHADA
Municipal;CUMBAL - NARIÑO
Municipal;CUMBITARA - NARIÑO
Municipal;CUNDAY - TOLIMA
Municipal;CURILLO - CAQUETÁ
Municipal;CURITÍ - SANTANDER
Municipal;CURUMANÍ - CESAR
Municipal;DABEIBA - ANTIOQUIA
Municipal;DAGUA - VALLE DEL CAUCA
Municipal;DIBULLA - LA GUAJIRA
Municipal;DISTRACCIÓN - LA GUAJIRA
Municipal;DOLORES - TOLIMA
Municipal;DONMATÍAS - ANTIOQUIA
Municipal;DOSQUEBRADAS - RISARALDA
Municipal;DUITAMA - BOYACÁ
Municipal;DURANIA - NORTE DE SANTANDER
Municipal;EBÉJICO - ANTIOQUIA
Municipal;EL ÁGUILA - VALLE DEL CAUCA
Municipal;EL BAGRE - ANTIOQUIA
Municipal;EL BANCO - MAGDALENA
Municipal;EL CAIRO - VALLE DEL CAUCA
Municipal;EL CALVARIO - META
Municipal;EL CANTÓN DEL SAN PABLO - CHOCÓ
Municipal;EL CARMEN - NORTE DE SANTANDER
Municipal;EL CARMEN DE ATRATO - CHOCÓ
Municipal;EL CARMEN DE BOLÍVAR - BOLÍVAR
Municipal;EL CARMEN DE CHUCURÍ - SANTANDER
Municipal;EL CARMEN DE VIBORAL - ANTIOQUIA
Municipal;EL CASTILLO - META
Municipal;EL CERRITO - VALLE DEL CAUCA
Municipal;EL CHARCO - NARIÑO
Municipal;EL COCUY - BOYACÁ
Municipal;EL COLEGIO - CUNDINAMARCA
Municipal;EL COPEY - CESAR
Municipal;EL DONCELLO - CAQUETÁ
Municipal;EL DORADO - META
Municipal;EL DOVIO - VALLE DEL CAUCA
Municipal;EL ENCANTO - AMAZONAS
Municipal;EL ESPINO - BOYACÁ
Municipal;EL GUACAMAYO - SANTANDER
Municipal;EL GUAMO - BOLÍVAR
Municipal;EL LITORAL DEL SAN JUAN - CHOCÓ
Municipal;EL MOLINO - LA GUAJIRA
Municipal;EL PASO - CESAR
Municipal;EL PAUJÍL - CAQUETÁ
Municipal;EL PEÑOL - NARIÑO
Municipal;EL PEÑÓN - BOLÍVAR
Municipal;EL PEÑÓN - CUNDINAMARCA
Municipal;EL PEÑÓN - SANTANDER
Municipal;EL PIÑÓN - MAGDALENA
Municipal;EL PLAYÓN - SANTANDER
Municipal;EL RETÉN - MAGDALENA
Municipal;EL RETORNO - GUAVIARE
Municipal;EL ROBLE - SUCRE
Municipal;EL ROSAL - CUNDINAMARCA
Municipal;EL ROSARIO - NARIÑO
Municipal;EL SANTUARIO - ANTIOQUIA
Municipal;EL TABLÓN DE GÓMEZ - NARIÑO
Municipal;EL TAMBO - CAUCA
Municipal;EL TAMBO - NARIÑO
Municipal;EL TARRA - NORTE DE SANTANDER
Municipal;EL ZULIA - NORTE DE SANTANDER
Municipal;ELÍAS - HUILA
Municipal;ENCINO - SANTANDER
Municipal;ENCISO - SANTANDER
Municipal;ENTRERRÍOS - ANTIOQUIA
Municipal;ENVIGADO - ANTIOQUIA
Municipal;ESPINAL - TOLIMA
Municipal;FACATATIVÁ - CUNDINAMARCA
Municipal;FALAN - TOLIMA
Municipal;FILADELFIA - CALDAS
Municipal;FILANDIA - QUINDIO
Municipal;FIRAVITOBA - BOYACÁ
Municipal;FLANDES - TOLIMA
Municipal;FLORENCIA - CAQUETÁ
Municipal;FLORENCIA - CAUCA
Municipal;FLORESTA - BOYACÁ
Municipal;FLORIÁN - SANTANDER
Municipal;FLORIDA - VALLE DEL CAUCA
Municipal;FLORIDABLANCA - SANTANDER
Municipal;FÓMEQUE - CUNDINAMARCA
Municipal;FONSECA - LA GUAJIRA
Municipal;FORTUL - ARAUCA
Municipal;FOSCA - CUNDINAMARCA
Municipal;FRANCISCO PIZARRO - NARIÑO
Municipal;FREDONIA - ANTIOQUIA
Municipal;FRESNO - TOLIMA
Municipal;FRONTINO - ANTIOQUIA
Municipal;FUENTE DE ORO - META
Municipal;FUNDACIÓN - MAGDALENA
Municipal;FUNES - NARIÑO
Municipal;FUNZA - CUNDINAMARCA
Municipal;FÚQUENE - CUNDINAMARCA
Municipal;FUSAGASUGÁ - CUNDINAMARCA
Municipal;GACHALÁ - CUNDINAMARCA
Municipal;GACHANCIPÁ - CUNDINAMARCA
Municipal;GACHANTIVÁ - BOYACÁ
Municipal;GACHETÁ - CUNDINAMARCA
Municipal;GALÁN - SANTANDER
Municipal;GALAPA - ATLÁNTICO
Municipal;GALERAS - SUCRE
Municipal;GAMA - CUNDINAMARCA
Municipal;GAMARRA - CESAR
Municipal;GÁMBITA - SANTANDER
Municipal;GÁMEZA - BOYACÁ
Municipal;GARAGOA - BOYACÁ
Municipal;GARZÓN - HUILA
Municipal;GÉNOVA - QUINDIO
Municipal;GIGANTE - HUILA
Municipal;GINEBRA - VALLE DEL CAUCA
Municipal;GIRALDO - ANTIOQUIA
Municipal;GIRARDOT - CUNDINAMARCA
Municipal;GIRARDOTA - ANTIOQUIA
Municipal;GIRÓN - SANTANDER
Municipal;GÓMEZ PLATA - ANTIOQUIA
Municipal;GONZÁLEZ - CESAR
Municipal;GRAMALOTE - NORTE DE SANTANDER
Municipal;GRANADA - ANTIOQUIA
Municipal;GRANADA - CUNDINAMARCA
Municipal;GRANADA - META
Municipal;GUACA - SANTANDER
Municipal;GUACAMAYAS - BOYACÁ
Municipal;GUACARÍ - VALLE DEL CAUCA
Municipal;GUACHENÉ - CAUCA
Municipal;GUACHETÁ - CUNDINAMARCA
Municipal;GUACHUCAL - NARIÑO
Municipal;GUADALAJARA DE BUGA - VALLE DEL CAUCA
Municipal;GUADALUPE - ANTIOQUIA
Municipal;GUADALUPE - HUILA
Municipal;GUADALUPE - SANTANDER
Municipal;GUADUAS - CUNDINAMARCA
Municipal;GUAITARILLA - NARIÑO
Municipal;GUALMATÁN - NARIÑO
Municipal;GUAMAL - MAGDALENA
Municipal;GUAMAL - META
Municipal;GUAMO - TOLIMA
Municipal;GUAPI - CAUCA
Municipal;GUAPOTÁ - SANTANDER
Municipal;GUARANDA - SUCRE
Municipal;GUARNE - ANTIOQUIA
Municipal;GUASCA - CUNDINAMARCA
Municipal;GUATAPÉ - ANTIOQUIA
Municipal;GUATAQUÍ - CUNDINAMARCA
Municipal;GUATAVITA - CUNDINAMARCA
Municipal;GUATEQUE - BOYACÁ
Municipal;GUÁTICA - RISARALDA
Municipal;GUAVATÁ - SANTANDER
Municipal;GUAYABAL DE SÍQUIMA - CUNDINAMARCA
Municipal;GUAYABETAL - CUNDINAMARCA
Municipal;GUAYATÁ - BOYACÁ
Municipal;GÜEPSA - SANTANDER
Municipal;GÜICÁN DE LA SIERRA - BOYACÁ
Municipal;GUTIÉRREZ - CUNDINAMARCA
Municipal;HACARÍ - NORTE DE SANTANDER
Municipal;HATILLO DE LOBA - BOLÍVAR
Municipal;HATO - SANTANDER
Municipal;HATO COROZAL - CASANARE
Municipal;HATONUEVO - LA GUAJIRA
Municipal;HELICONIA - ANTIOQUIA
Municipal;HERRÁN - NORTE DE SANTANDER
Municipal;HERVEO - TOLIMA
Municipal;HISPANIA - ANTIOQUIA
Municipal;HOBO - HUILA
Municipal;HONDA - TOLIMA
Municipal;IBAGUÉ - TOLIMA
Municipal;ICONONZO - TOLIMA
Municipal;ILES - NARIÑO
Municipal;IMUÉS - NARIÑO
Municipal;INÍRIDA - GUAINÍA
Municipal;INZÁ - CAUCA
Municipal;IPIALES - NARIÑO
Municipal;ÍQUIRA - HUILA
Municipal;ISNOS - HUILA
Municipal;ISTMINA - CHOCÓ
Municipal;ITAGÜÍ - ANTIOQUIA
Municipal;ITUANGO - ANTIOQUIA
Municipal;IZA - BOYACÁ
Municipal;JAMBALÓ - CAUCA
Municipal;JAMUNDÍ - VALLE DEL CAUCA
Municipal;JARDÍN - ANTIOQUIA
Municipal;JENESANO - BOYACÁ
Municipal;JERICÓ - ANTIOQUIA
Municipal;JERICÓ - BOYACÁ
Municipal;JERUSALÉN - CUNDINAMARCA
Municipal;JESÚS MARÍA - SANTANDER
Municipal;JORDÁN - SANTANDER
Municipal;JUAN DE ACOSTA - ATLÁNTICO
Municipal;JUNÍN - CUNDINAMARCA
Municipal;JURADÓ - CHOCÓ
Municipal;LA APARTADA - CÓRDOBA
Municipal;LA ARGENTINA - HUILA
Municipal;LA BELLEZA - SANTANDER
Municipal;LA CALERA - CUNDINAMARCA
Municipal;LA CAPILLA - BOYACÁ
Municipal;LA CEJA - ANTIOQUIA
Municipal;LA CELIA - RISARALDA
Municipal;LA CHORRERA - AMAZONAS
Municipal;LA CRUZ - NARIÑO
Municipal;LA CUMBRE - VALLE DEL CAUCA
Municipal;LA DORADA - CALDAS
Municipal;LA ESPERANZA - NORTE DE SANTANDER
Municipal;LA ESTRELLA - ANTIOQUIA
Municipal;LA FLORIDA - NARIÑO
Municipal;LA GLORIA - CESAR
Municipal;LA GUADALUPE - GUAINÍA
Municipal;LA JAGUA DE IBIRICO - CESAR
Municipal;LA JAGUA DEL PILAR - LA GUAJIRA
Municipal;LA LLANADA - NARIÑO
Municipal;LA MACARENA - META
Municipal;LA MERCED - CALDAS
Municipal;LA MESA - CUNDINAMARCA
Municipal;LA MONTAÑITA - CAQUETÁ
